,city_1,returns
0,,117
1,Paris,8
2,Hollywood,7
3,Rome,5
4,Milan,4
5,Genoa,3
6,Naples,3
7,Buenos Aires,3
8,Las Vegas,3
9,Reno,3
10,New York,3
11,London,3
12,Turin,2
13,Florence,2
14,Bologna,2
15,Brescia,2
16,New York City,2
17,Rio de Janeiro,2
18,Barranquilla,2
19,Kingston,2
20,Mexico City,2
21,Palermo,2
22,Catania,2
23,San Francisco,2
24,Cairo,1
25,Venice,1
26,Piacenza,1
27,Biella,1
28,Belem,1
29,Recife,1
30,Sao Paulo,1
31,Montevideo,1
32,Santiago,1
33,Mar del Plata,1
34,Lima,1
35,Quito,1
36,Cali,1
37,Bogota,1
38,Medellin,1
39,Cartagena,1
40,Caracas,1
41,Petion-Ville,1
42,Port au Prince,1
43,Port-au-Prince,1
44,Guadalajara,1
45,Gander,1
46,Cairnryan,1
47,Belfast,1
48,Dublin,1
49,Bournemouth,1
50,Nottingham,1
51,Birmingham,1
52,Bristol,1
53,Copenhagen,1
54,Vichy,1
55,Juan-les-Pins,1
56,Marseille?,1
57,Nice,1
58,Arachon,1
59,Biarritz,1
60,Dax,1
61,Barcelona,1
62,Ventimiglia,1
63,"Santa Margherita, Genoa",1
64,Marseille,1
65,Bern,1
66,Zurich,1
67,Altreu,1
68,Lausanne,1
69,Basel,1
70,Sicily,1
71,Bari,1
72,Livorno,1
73,Trieste,1
74,Padova,1
75,Varese,1
76,Bergamo,1
77,Verona,1
78,Bordeaux,1
79,Oran,1
80,Casablanca,1
81,Chicago,1
82,Joliet,1
83,Vancouver,1
84,"Crystal Bay, NV",1
85,Havana,1
86,Los Angeles,1
87,San Francisco ,1
88,Beverly Hills,1
