,city_1,visits
0,Paris,8
1,Hollywood,7
2,Rome,5
3,Milan,4
4,Genoa,3
5,Naples,3
6,Buenos Aires,3
7,Las Vegas,3
8,Reno,3
9,London,3
10,Turin,2
11,Florence,2
12,Bologna,2
13,Brescia,2
14,New York City,2
15,Rio de Janeiro,2
16,Barranquilla,2
17,Kingston,2
18,Mexico City,2
19,New York,2
20,Palermo,2
21,Catania,2
22,San Francisco,2
23,Cairo,1
24,Venice,1
25,Piacenza,1
26,Biella,1
27,Belem,1
28,Recife,1
29,Sao Paulo,1
30,Montevideo,1
31,Santiago,1
32,Mar del Plata,1
33,Lima,1
34,Quito,1
35,Cali,1
36,Bogota,1
37,Medellin,1
38,Cartagena,1
39,Caracas,1
40,Petion-Ville,1
41,Port au Prince,1
42,Port-au-Prince,1
43,Guadalajara,1
44,Gander,1
45,Cairnryan,1
46,Belfast,1
47,Dublin,1
48,Bournemouth,1
49,Nottingham,1
50,Birmingham,1
51,Bristol,1
52,Copenhagen,1
53,Vichy,1
54,Juan-les-Pins,1
55,Marseille?,1
56,Nice,1
57,Arachon,1
58,Biarritz,1
59,Dax,1
60,Barcelona,1
61,Ventimiglia,1
62,"Santa Margherita, Genoa",1
63,Marseille,1
64,Bern,1
65,Zurich,1
66,Altreu,1
67,Lausanne,1
68,Basel,1
69,Sicily,1
70,Bari,1
71,Livorno,1
72,Trieste,1
73,Padova,1
74,Varese,1
75,Bergamo,1
76,Verona,1
77,Bordeaux,1
78,Oran,1
79,Casablanca,1
80,Chicago,1
81,Joliet,1
82,Vancouver,1
83,"Crystal Bay, NV",1
84,Havana,1
85,Los Angeles,1
86,San Francisco ,1
87,Beverly Hills,1
